Timestamp,Bid Close,Ask Close,sym,duration
2017.03.24D18:01:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D18:00:00.000000000,99.75,99.765625,US5YT=RR,4.672
2017.03.24D17:59:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:58:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:55:00.000000000,99.7421875,99.75,US5YT=RR,4.672
2017.03.24D17:54:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D17:53:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:52:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D17:50:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:49:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:48:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D17:46:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:45:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:44:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:43:00.000000000,99.6953125,99.703125,US5YT=RR,4.672
2017.03.24D17:40:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:39:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:38:00.000000000,99.6953125,99.703125,US5YT=RR,4.672
2017.03.24D17:37:00.000000000,99.6953125,99.7109375,US5YT=RR,4.672
2017.03.24D17:36:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:35:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:34:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:33:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D17:32:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:31:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:30:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:29:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:28:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D17:27:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D17:26:00.000000000,99.7265625,99.7421875,US5YT=RR,4.672
2017.03.24D17:25:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D17:24:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D17:23:00.000000000,99.7265625,99.7421875,US5YT=RR,4.672
2017.03.24D17:22:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D17:21:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:20:00.000000000,99.765625,99.7734375,US5YT=RR,4.672
2017.03.24D17:19:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:18:00.000000000,99.734375,99.7421875,US5YT=RR,4.672
2017.03.24D17:17:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:16:00.000000000,99.75,99.7578125,US5YT=RR,4.672
2017.03.24D17:15:00.000000000,99.7421875,99.75,US5YT=RR,4.672
2017.03.24D17:14:00.000000000,99.7578125,99.765625,US5YT=RR,4.672
2017.03.24D17:13:00.000000000,99.765625,99.7734375,US5YT=RR,4.672
2017.03.24D17:12:00.000000000,99.7734375,99.78125,US5YT=RR,4.672
2017.03.24D17:06:00.000000000,99.7265625,99.734375,US5YT=RR,4.672
2017.03.24D17:05:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D17:04:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:02:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D17:01:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D17:00:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D16:59:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D16:57:00.000000000,99.703125,99.7109375,US5YT=RR,4.672
2017.03.24D16:53:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:49:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:47:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D16:46:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:43:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D16:42:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D16:38:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:37:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:36:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:35:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:34:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D16:31:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:30:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:28:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
2017.03.24D16:26:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D16:23:00.000000000,99.71875,99.7265625,US5YT=RR,4.672
2017.03.24D16:19:00.000000000,99.7109375,99.71875,US5YT=RR,4.672
